Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2026-01-13 07:01:01,false,"Chicago Running","6.05","737","00:47:07","164","178","3.7","160","170","7:47","4:39","246","220","1.29","7.9","10.2","276","7:46","418","0.0","414","640","7,528","-15","No","00:00:18.1","7","00:47:01","00:47:07","581","645"
Running,2026-01-12 06:33:34,false,"Chicago Running","6.21","738","00:46:29","165","183","3.8","159","170","7:29","4:58","144","128","1.35","7.8","10.5","276","7:31","419","0.0","414","711","7,362","-15","No","00:01:35.0","7","00:46:28","00:46:29","579","639"
Running,2026-01-10 09:26:32,false,"Ottawa Running","8.30","1,045","01:09:23","160","172","3.9","156","166","8:22","5:37","243","259","1.24","8.2","10.2","288","8:17","382","0.0","375","611","10,788","-20","No","00:02:43.2","9","01:09:17","01:10:34","147","272"
Running,2026-01-07 06:38:16,false,"Chicago Running","6.14","748","00:46:57","167","178","3.9","156","167","7:39","4:09","141","135","1.35","7.9","10.6","280","7:37","413","0.0","407","750","7,294","-15","No","00:00:55.4","7","00:46:45","00:46:57","575","644"
Running,2026-01-04 10:32:30,false,"Naples Running","5.03","605","00:37:43","168","184","3.7","157","167","7:30","6:23","20","20","1.37","7.8","10.7","277","7:30","414","0.0","412","514","5,918","-10","No","00:00:14.9","6","00:37:35","00:37:43","3","19"
Running,2026-01-03 10:03:51,false,"Naples Running","5.04","608","00:37:40","169","182","3.8","157","167","7:29","6:33","26","23","1.37","7.8","10.6","277","7:30","417","0.0","415","465","5,926","-10","No","00:00:17.4","6","00:37:30","00:37:40","6","23"
Running,2026-01-02 09:40:31,false,"Naples Running","5.22","630","00:39:15","167","180","3.8","157","167","7:31","5:57","16","23","1.36","7.8","10.6","277","7:32","411","0.0","409","548","6,188","-12","No","00:01:37.3","6","00:39:12","00:39:15","3","21"
Running,2025-12-31 09:54:46,false,"Naples Running","5.03","588","00:37:25","161","173","3.6","160","169","7:26","3:38","30","26","1.35","7.7","10.5","273","7:28","430","0.0","426","818","5,964","-11","No","00:00:13.8","6","00:37:21","00:37:25","-5","26"
Running,2025-12-30 10:37:58,false,"Naples Running","5.03","604","00:37:04","170","183","3.9","159","167","7:22","6:00","46","49","1.37","7.7","10.6","273","7:23","429","0.0","427","546","5,896","-12","No","00:00:11.6","6","00:37:02","00:37:04","-3","24"
Running,2025-12-27 10:39:36,false,"New York Running","6.22","762","00:46:11","172","183","4.2","160","167","7:25","6:42","292","285","1.36","7.7","10.5","273","7:22","433","0.0","426","538","7,362","-13","No","00:01:42.5","7","00:46:09","00:46:11","35","141"
Running,2025-12-24 16:03:30,false,"Stratton Running","1.87","227","00:14:40","157","171","2.6","156","163","7:49","6:43","226","246","1.31","8.0","10.4","282","7:30","440","0.0","415","629","2,286","-3","No","00:07:40.1","2","00:14:38","00:14:51","2,042","2,155"
Resort Skiing,2025-12-24 12:27:41,false,"Stratton Mountain Resort Ski","5.64","250","01:08:34","85","126","0.2","--","--","7.8","28.0","4,154","5,092","--","--","--","--","--","--","0.0","--","--","--","-4","No","00:10:51","4","00:56:50","01:08:34","2,110","3,909"
Resort Skiing,2025-12-23 14:45:47,false,"Stratton Mountain Resort Ski","8.31","360","01:13:42","97","148","0.3","--","--","10.7","31.1","5,518","7,241","--","--","--","--","--","--","0.0","--","--","--","-4","No","00:07:14.3","6","01:07:15","01:13:42","2,105","3,888"
Running,2025-12-22 09:05:13,false,"Stratton Running","3.23","386","00:24:49","159","191","3.2","158","171","7:41","5:50","394","384","1.32","7.9","10.4","277","7:27","463","0.0","436","652","3,918","-7","No","00:01:59.7","4","00:24:46","00:24:49","2,046","2,155"
Running,2025-12-21 09:56:29,false,"Wellesley Running","5.44","666","00:41:05","169","182","3.8","158","169","7:33","6:22","148","131","1.35","7.8","10.5","277","7:32","422","0.0","418","565","6,498","-13","No","00:03:19.8","6","00:41:03","00:41:05","133","197"
Running,2025-12-17 06:55:01,false,"Chicago Running","6.19","756","00:47:04","165","180","3.9","160","173","7:36","5:28","161","151","1.33","7.8","10.3","274","7:34","415","0.0","410","594","7,520","-14","No","00:01:16.9","7","00:46:55","00:47:04","580","644"
Running,2025-12-11 12:09:33,false,"Chicago Running","5.43","664","00:40:06","172","182","3.8","158","174","7:23","3:10","194","141","1.38","7.7","10.6","273","7:19","435","0.0","428","820","6,364","-9","No","00:03:18.0","6","00:40:02","00:40:06","554","640"
Running,2025-12-09 07:05:42,false,"Chicago Running","6.18","744","00:46:49","163","181","3.8","160","171","7:34","2:59","167","151","1.33","7.8","10.3","273","7:31","418","0.0","414","1,056","7,492","-14","No","00:01:13.0","7","00:46:47","00:46:49","586","646"
Running,2025-12-06 08:18:53,false,"Regina Running","3.93","485","00:29:51","165","175","3.5","159","169","7:35","5:29","62","30","1.34","7.7","10.3","269","7:29","426","0.0","420","595","4,758","-7","No","00:07:18.6","4","00:29:43","00:29:51","1,870","1,904"
Running,2025-12-05 07:24:12,false,"Chicago Running","6.31","745","00:47:46","162","173","3.7","160","171","7:34","2:55","157","125","1.32","7.8","10.3","275","7:33","418","0.0","411","1,112","7,612","-13","No","00:02:16.4","7","00:47:45","00:47:46","573","638"
Running,2025-12-01 07:11:44,false,"Chicago Running","6.36","775","00:48:36","166","178","3.9","159","172","7:39","3:04","141","131","1.33","7.8","10.4","276","7:37","427","0.0","418","962","7,720","-15","No","00:02:46.8","7","00:48:22","00:48:36","583","643"
Running,2025-11-29 10:11:21,false,"New York Running","6.21","741","00:45:40","169","180","4.0","161","169","7:21","6:07","302","299","1.35","7.6","10.3","268","7:19","432","0.0","425","569","7,366","-14","No","00:01:32.1","7","00:45:38","00:45:40","30","138"
Running,2025-11-28 09:52:38,false,"New York Running","6.22","741","00:46:17","167","179","3.9","160","169","7:26","6:31","344","331","1.35","7.7","10.4","272","7:23","443","0.0","434","633","7,416","-13","No","00:01:39.4","7","00:46:12","00:46:17","39","144"
Running,2025-11-25 09:13:27,false,"New York Running","6.21","757","00:46:47","170","182","4.0","161","169","7:32","6:05","299","282","1.33","7.7","10.3","271","7:28","431","0.0","424","538","7,520","-14","No","00:01:41.1","7","00:46:39","00:46:47","34","144"
Running,2025-11-24 08:51:55,false,"New York Running","6.14","747","00:46:55","168","180","3.9","161","167","7:39","6:24","302","302","1.31","7.8","10.3","274","7:35","421","0.0","416","536","7,514","-15","No","00:01:05.4","7","00:46:53","00:46:55","36","137"
Running,2025-11-22 15:24:13,false,"Geneva Running","6.02","736","00:48:33","161","170","3.5","155","165","8:04","5:36","52","62","1.28","8.1","10.4","285","8:04","390","0.0","385","589","7,542","-8","No","00:00:07.1","7","00:48:28","00:48:33","1,219","1,258"
Running,2025-11-16 08:51:54,false,"Naples Running","5.28","644","00:39:27","173","184","3.8","158","167","7:28","6:02","16","23","1.36","7.8","10.6","276","7:29","415","0.0","413","551","6,226","-12","No","00:02:06.9","6","00:39:26","00:39:27","2","23"
Running,2025-11-15 09:56:13,false,"Naples Running","5.52","681","00:41:30","174","187","3.9","160","167","7:31","6:31","43","36","1.34","7.8","10.4","273","7:30","412","0.0","410","510","6,632","-13","No","00:04:00.3","6","00:41:22","00:41:30","3","22"
Running,2025-11-14 08:01:18,false,"Naples Running","7.31","880","00:54:58","167","178","4.1","159","167","7:31","4:28","52","49","1.35","7.8","10.5","276","7:32","415","0.0","414","531","8,710","-15","No","00:02:17.4","8","00:54:57","00:54:58","-3","20"
Running,2025-11-11 06:49:13,false,"Chicago Running","6.39","769","00:48:10","167","186","3.9","159","172","7:32","6:14","161","141","1.31","7.9","10.4","278","7:44","408","0.0","403","566","7,652","-14","No","00:02:55.1","7","00:48:03","00:48:10","581","641"
Running,2025-11-09 09:46:31,false,"Chicago Running","3.42","415","00:26:13","164","178","3.2","156","171","7:40","5:47","164","167","1.35","7.7","10.4","274","7:35","432","0.0","417","619","4,144","-7","No","00:03:24.5","4","00:26:02","00:26:13","589","646"
Running,2025-11-02 11:31:08,false,"New York Marathon","26.57","3,303","04:05:56","166","189","5.0","149","169","9:15","6:15","945","932","1.15","8.1","9.3","291","9:14","351","0.0","325","570","36,704","-40","No","00:05:47.4","27","04:05:51","04:05:56","4","259"
Running,2025-10-30 07:21:54,false,"Chicago Running","4.45","529","00:32:30","170","181","3.5","159","171","7:18","3:53","167","161","1.37","7.7","10.5","275","7:23","446","0.0","435","889","5,154","-11","No","00:03:16.5","5","00:32:28","00:32:30","588","654"
Running,2025-10-28 06:52:21,false,"Chicago Running","5.21","595","00:37:21","164","177","3.5","159","167","7:10","5:44","135","125","1.34","7.8","10.4","275","7:32","428","0.0","421","651","5,936","-12","No","00:01:33.4","6","00:37:19","00:37:21","577","633"
Running,2025-10-27 07:12:44,false,"Chicago Running","4.19","499","00:32:37","158","168","3.2","159","167","7:47","5:12","161","154","1.31","7.9","10.4","279","7:44","418","0.0","411","658","5,170","-10","No","00:01:26.7","5","00:32:35","00:32:37","579","642"
Running,2025-10-24 06:46:50,false,"Chicago Running","12.02","1,440","01:32:24","167","177","4.3","159","172","7:41","4:32","203","210","1.32","7.9","10.4","278","7:40","407","0.0","404","665","14,628","-26","No","00:00:09.9","13","01:32:22","01:32:24","576","650"
Running,2025-10-22 06:40:38,false,"Chicago Running","6.31","750","00:47:11","166","178","3.8","158","167","7:29","3:19","174","177","1.36","7.8","10.4","275","7:28","440","0.0","413","1,012","7,518","-14","No","00:02:39.6","7","00:46:55","00:47:11","582","663"
